Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

08:46:26 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
09:03:46 AM      0.00   3140.80      0.00      0.00    979.00      0.00      0.00      0.00      0.00      0.00
09:03:51 AM      0.00   1395.20      0.00      0.00    386.60      0.00      0.00      0.00      0.00      0.00
09:03:56 AM      0.00    710.40      0.00      0.00    206.80      0.00      0.00      0.00      0.00      0.00
09:04:01 AM      9.60    155.20      2.40      2.40     46.60      0.00      0.00      0.00      0.00      0.00
09:04:06 AM      0.80    820.80      0.20      0.20    227.00      0.00      0.00      0.00      0.00      0.00
09:04:11 AM      0.00     27.20      0.00      0.00     12.20      0.00      0.00      0.00      0.00      0.00
09:04:16 AM      0.00   2645.60      0.00      0.00    741.60      0.00      0.00      0.00      0.00      0.00
09:04:21 AM      0.00     38.40      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
09:04:26 AM      4.00    117.60      1.00      1.00      4.60      0.00      0.00      0.00      0.00      0.00
09:04:31 AM      2.40   7095.20      0.60      0.60   1979.00      0.00      0.00      0.00      0.00      0.00
09:04:36 AM      0.00   2801.60      0.60      0.00    774.80      0.00      0.00      0.00      0.00      0.00
09:04:41 AM  19841.60   3804.00   7841.40   7834.80   1105.20      0.00      0.00      0.00      0.00      0.00
09:04:46 AM     16.00  10776.00      4.00      4.00   2699.20      0.00      0.00      0.00      0.00      0.00
09:04:51 AM      0.80    229.60      0.20      0.20     62.20      0.00      0.00      0.00      0.00      0.00
09:04:56 AM      0.00   2724.00      0.00      0.00    669.20      0.00      0.00      0.00      0.00      0.00
09:05:01 AM      6.40   5343.20      6.00      0.00   1338.60      0.00      0.00      0.00      0.00      0.00
09:05:06 AM      0.00   1521.76      0.00      0.00    382.63      0.00      0.00      0.00      0.00      0.00
09:05:11 AM      0.00    224.00      0.00      0.00     54.60      0.00      0.00      0.00      0.00      0.00
09:05:16 AM      0.00   4644.00      0.00      0.00   1164.80      0.00      0.00      0.00      0.00      0.00
09:05:21 AM      0.00   1971.20      0.00      0.00    508.20      0.00      0.00      0.00      0.00      0.00
09:05:26 AM      0.00     78.40      0.00      0.00     23.40      0.00      0.00      0.00      0.00      0.00
09:05:31 AM      3.20   2053.60      0.00      0.00    465.20      0.00      0.00      0.00      0.00      0.00
09:05:36 AM      0.00    583.20      0.00      0.00    161.40      0.00      0.00      0.00      0.00      0.00
09:05:41 AM      3.20   1091.20      0.00      0.00    275.60      0.00      0.00      0.00      0.00      0.00
09:05:46 AM      0.00   1711.20      0.00      0.00    431.80      0.00      0.00      0.00      0.00      0.00
09:05:51 AM      0.00   1125.60      0.00      0.00    285.40      0.00      0.00      0.00      0.00      0.00
09:05:56 AM      1.60   2177.60      1.80      1.80    613.80      0.00      0.00      0.00      0.00      0.00
09:06:01 AM      0.00   9712.00      1.60      1.60   2426.80      0.00      0.00      0.00      0.00      0.00
09:06:06 AM      0.00     42.40      0.00      0.00     14.60      0.00      0.00      0.00      0.00      0.00
09:06:11 AM     20.80    175.20      0.40      0.40     22.40      0.00      0.00      0.00      0.00      0.00
09:06:16 AM      0.00     89.60      0.00      0.00     25.00      0.00      0.00      0.00      0.00      0.00
09:06:21 AM      0.00     16.00      0.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00
09:06:26 AM      0.00     37.60      0.00      0.00     30.60      0.00      0.00      0.00      0.00      0.00
09:06:31 AM 113488.00   2267.20  28363.60  28079.40   1556.40      0.00      0.00      0.00      0.00      0.00
09:06:36 AM      0.00   1352.00      0.00      0.00    342.60      0.00      0.00      0.00      0.00      0.00
09:06:41 AM  61644.00     52.00  15411.40  15411.20   6132.60      0.00      0.00      0.00      0.00      0.00
09:06:46 AM     16.80    117.60      0.20      0.20      4.80      0.00      0.00      0.00      0.00      0.00
09:06:51 AM      3.20    125.60      0.00      0.00     57.60      0.00      0.00      0.00      0.00      0.00
09:06:56 AM      0.00   3896.00      0.00      0.00    988.20      0.00      0.00      0.00      0.00      0.00
09:07:01 AM      0.00   2281.60      0.00      0.00    572.00      0.00      0.00      0.00      0.00      0.00
09:07:06 AM      0.00   5116.80      0.00      0.00   1283.20      0.00      0.00      0.00      0.00      0.00
09:07:11 AM      0.80   7248.00      0.20      0.20   1821.40      0.00      0.00      0.00      0.00      0.00
09:07:16 AM      0.00   1999.20      0.00      0.00    521.40      0.00      0.00      0.00      0.00      0.00
09:07:21 AM     16.80   8019.20      0.20      0.20   1986.00      0.00      0.00      0.00      0.00      0.00
09:07:26 AM      0.80   5488.80      0.20      0.20   1377.60      0.00      0.00      0.00      0.00      0.00
09:07:31 AM      0.00   1822.40      0.00      0.00    458.80      0.00      0.00      0.00      0.00      0.00
09:07:36 AM      0.00     28.80      0.00      0.00     11.20      0.00      0.00      0.00      0.00      0.00
09:07:41 AM  15743.20   1843.20   3936.00   3935.80    473.40      0.00      0.00      0.00      0.00      0.00
09:07:46 AM   5918.40   5400.00   1479.60   1479.60   1394.20      0.00      0.00      0.00      0.00      0.00
09:07:51 AM      0.00    789.60      0.00      0.00    215.40      0.00      0.00      0.00      0.00      0.00
09:07:56 AM      4.00   6864.80      0.20      0.20   1692.00      0.00      0.00      0.00      0.00      0.00
09:08:01 AM      0.00   3617.60      0.00      0.00    909.80      0.00      0.00      0.00      0.00      0.00
09:08:06 AM      0.00    806.40      0.00      0.00    205.40      0.00      0.00      0.00      0.00      0.00
09:08:11 AM     12.80   2190.40      3.20      3.20    551.80      0.00      0.00      0.00      0.00      0.00
09:08:16 AM      0.00   3536.00      0.00      0.00    890.60      0.00      0.00      0.00      0.00      0.00
09:08:21 AM      0.00   1678.40      0.00      0.00    423.60      0.00      0.00      0.00      0.00      0.00
09:08:26 AM      0.00    420.00      0.00      0.00    100.80      0.00      0.00      0.00      0.00      0.00
09:08:31 AM      0.00    334.40      0.00      0.00     58.00      0.00      0.00      0.00      0.00      0.00
09:08:36 AM     16.80   6936.80      1.80      1.80   1740.20      0.00      0.00      0.00      0.00      0.00
09:08:41 AM      4.00   6676.80      1.00      1.00   1673.00      0.00      0.00      0.00      0.00      0.00
09:08:46 AM      0.80   7359.68      0.20      0.20   1845.71      0.00      0.00      0.00      0.00      0.00
09:08:51 AM      0.00   7162.40      0.00      0.00   1806.40      0.00      0.00      0.00      0.00      0.00
09:08:56 AM      0.80   5674.40      0.20      0.20   1422.80      0.00      0.00      0.00      0.00      0.00
09:09:01 AM      0.80   1440.00      0.20      0.20    354.00      0.00      0.00      0.00      0.00      0.00
09:09:06 AM     19.20    700.00      0.00      0.00    147.60      0.00      0.00      0.00      0.00      0.00
09:09:11 AM      1.60   3678.40      0.40      0.40    942.20      0.00      0.00      0.00      0.00      0.00
09:09:16 AM      0.00   2887.20      0.00      0.00    725.80      0.00      0.00      0.00      0.00      0.00
09:09:21 AM      0.00   7233.60      0.00      0.00   1852.00      0.00      0.00      0.00      0.00      0.00
