Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

03:39:50 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
03:39:55 AM   2298.40      0.00 198552.80      1.80    477.60      0.00      0.00      0.00      0.00      0.00
03:42:35 AM      5.60    261.60      1.60      1.40    171.80      0.00      0.00      0.00      0.00      0.00
03:42:40 AM      0.00   1338.40      0.00      0.00    333.80      0.00      0.00      0.00      0.00      0.00
03:42:45 AM      0.00   5898.40      0.00      0.00   1475.60      0.00      0.00      0.00      0.00      0.00
03:42:50 AM      0.80     19.20      0.20      0.20      9.60      0.00      0.00      0.00      0.00      0.00
03:42:55 AM      0.00   5339.20      5.20      0.00   1339.00      0.00      0.00      0.00      0.00      0.00
03:43:00 AM      0.00   3714.40      0.00      0.00    892.60      0.00      0.00      0.00      0.00      0.00
03:43:05 AM      0.00   4483.20      0.00      0.00   1124.80      0.00      0.00      0.00      0.00      0.00
03:43:10 AM      0.00   5178.40      0.00      0.00   1269.40      0.00      0.00      0.00      0.00      0.00
03:43:15 AM      0.00   2976.80      0.00      0.00    745.20      0.00      0.00      0.00      0.00      0.00
03:43:20 AM      0.00     98.40      0.00      0.00     28.40      0.00      0.00      0.00      0.00      0.00
03:43:25 AM      0.00   1040.80      0.00      0.00    259.40      0.00      0.00      0.00      0.00      0.00
03:43:30 AM     90.40   2388.80      2.00      1.20    557.80      0.00      0.00      0.00      0.00      0.00
03:43:35 AM      0.80   3835.20      0.20      0.20   1066.60      0.00      0.00      0.00      0.00      0.00
03:43:40 AM      0.00     25.60    279.80      0.00    227.20      0.00      0.00      0.00      0.00      0.00
03:43:45 AM     37.60   1927.20      0.00      9.40    577.80      0.00      0.00      0.00      0.00      0.00
03:43:50 AM      0.00   2260.00      0.00      0.00    569.00      0.00      0.00      0.00      0.00      0.00
03:43:55 AM  54470.40    548.00  13618.20  13617.80    475.80      0.00      0.00      0.00      0.00      0.00
03:44:00 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:44:05 AM      0.00   4556.00      0.00      0.00   1859.60      0.00      0.00      0.00      0.00      0.00
03:44:10 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:44:15 AM      0.00    143.20      0.00      0.00    819.60      0.00      0.00      0.00      0.00      0.00
03:44:20 AM      0.00      3.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:44:25 AM      0.00      0.00      0.00      0.00    823.00      0.00      0.00      0.00      0.00      0.00
03:44:30 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:44:35 AM      2.40      0.00      0.60      0.60    823.20      0.00      0.00      0.00      0.00      0.00
03:44:40 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:44:45 AM      0.00     38.40      0.00      0.00    103.00      0.00      0.00      0.00      0.00      0.00
03:44:50 AM      6.40    136.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:44:55 AM      0.00      3.20      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:45:00 AM      0.00    988.80      0.00      0.00    251.00      0.00      0.00      0.00      0.00      0.00
03:45:05 AM      0.00   3428.80      0.00      0.00    861.20      0.00      0.00      0.00      0.00      0.00
03:45:10 AM      0.00  10605.60      0.00      0.00   2655.20      0.00      0.00      0.00      0.00      0.00
03:45:15 AM      0.00   8993.60      0.00      0.00   2249.40      0.00      0.00      0.00      0.00      0.00
03:45:20 AM      0.00   9237.60      0.00      0.00   2277.60      0.00      0.00      0.00      0.00      0.00
03:45:25 AM      0.00   4126.40      0.00      0.00   1035.40      0.00      0.00      0.00      0.00      0.00
03:45:30 AM      0.80    389.60      0.00      0.00    100.60      0.00      0.00      0.00      0.00      0.00
03:45:35 AM      7.20   1400.80      1.80      1.80    357.40      0.00      0.00      0.00      0.00      0.00
03:45:40 AM      0.00    266.40      0.00      0.00     70.80      0.00      0.00      0.00      0.00      0.00
03:45:45 AM      6.40     44.80      1.60      1.60     12.40      0.00      0.00      0.00      0.00      0.00
03:45:50 AM      0.00   3830.40      0.00      0.00    932.20      0.00      0.00      0.00      0.00      0.00
03:45:55 AM  29434.40   1738.40   7268.00   7266.40    564.60      0.00      0.00      0.00      0.00      0.00
03:46:00 AM      0.80   6353.60      0.20      0.20   1592.20      0.00      0.00      0.00      0.00      0.00
03:46:05 AM      9.60      4.00      2.40      2.40      9.00      0.00      0.00      0.00      0.00      0.00
03:46:10 AM      0.00      0.00      0.00      0.00      3.79      0.00      0.00      0.00      0.00      0.00
03:46:15 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:46:20 AM      0.00    170.40      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:46:25 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:46:30 AM      0.00      0.00      0.00      0.00    208.60      0.00      0.00      0.00      0.00      0.00
03:46:35 AM      0.80      0.00      0.20      0.20    106.40      0.00      0.00      0.00      0.00      0.00
03:46:40 AM      0.00      3.20      0.00      0.00    311.00      0.00      0.00      0.00      0.00      0.00
03:46:45 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:46:50 AM      0.00     39.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:46:55 AM      0.00      0.00      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:47:00 AM      0.00      0.00      0.00      0.00      4.80      0.00      0.00      0.00      0.00      0.00
03:47:05 AM      0.00   1512.00      0.00      0.00    382.20      0.00      0.00      0.00      0.00      0.00
03:47:10 AM      0.80   2132.80      5.60      0.20    503.80      0.00      0.00      0.00      0.00      0.00
03:47:15 AM      0.00    136.80      0.00      0.00     33.60      0.00      0.00      0.00      0.00      0.00
03:47:20 AM      0.00     18.40      0.00      0.00      8.80      0.00      0.00      0.00      0.00      0.00
03:47:25 AM      0.00   4079.20      0.00      0.00   1005.40      0.00      0.00      0.00      0.00      0.00
03:47:30 AM     48.80   2433.60      0.40     12.20   1129.60      0.00      0.00      0.00      0.00      0.00
03:47:35 AM      3.20   1872.80      0.80      0.80    472.20      0.00      0.00      0.00      0.00      0.00
03:47:40 AM     31.20   6600.00      0.00      7.80   1811.00      0.00      0.00      0.00      0.00      0.00
03:47:45 AM      0.00   7588.80      0.00      0.00   1897.80      0.00      0.00      0.00      0.00      0.00
03:47:50 AM     38.40   5004.80      0.00      9.60   1868.80      0.00      0.00      0.00      0.00      0.00
03:47:55 AM  66748.80   2503.20  16688.00  16687.60   1204.40      0.00      0.00      0.00      0.00      0.00
03:48:00 AM      1.60      0.80      0.00      0.40    516.00      0.00      0.00      0.00      0.00      0.00
03:48:05 AM  17739.20      0.00   4434.80   4434.80   1781.80      0.00      0.00      0.00      0.00      0.00
03:48:10 AM      0.00      0.00      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:48:15 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:48:20 AM      0.00    130.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:48:25 AM      0.00      3.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:48:30 AM     90.40     32.00      1.20      1.20      9.60      0.00      0.00      0.00      0.00      0.00
03:48:35 AM      2.40      0.80      0.60      0.60      4.20      0.00      0.00      0.00      0.00      0.00
03:48:40 AM      5.60      0.00    284.20      1.40    315.00      0.00      0.00      0.00      0.00      0.00
03:48:45 AM      0.00      0.00      0.00      0.00      1.20      0.00      0.00      0.00      0.00      0.00
03:48:50 AM      0.00      0.00      0.00      0.00    311.00      0.00      0.00      0.00      0.00      0.00
03:48:55 AM      0.00    130.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:00 AM      0.00      4.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:05 AM      0.00     38.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:10 AM      0.00      0.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:49:15 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:49:20 AM      0.00      0.00      0.00      0.00    363.80      0.00      0.00      0.00      0.00      0.00
03:49:25 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:30 AM      0.00    111.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:49:35 AM      0.00      3.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:49:40 AM      0.00     32.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:45 AM      0.00   2614.40      0.00      0.00    653.80      0.00      0.00      0.00      0.00      0.00
03:49:50 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:49:55 AM      0.00      0.00      0.00      0.00      3.79      0.00      0.00      0.00      0.00      0.00
03:50:00 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:50:05 AM    452.80    130.40    113.40    113.20      4.00      0.00      0.00      0.00      0.00      0.00
03:50:10 AM      0.00      4.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:50:15 AM      0.00     38.40      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:50:20 AM      0.00      0.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:50:25 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:50:30 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:50:35 AM      0.00      0.00      0.00      0.00    618.40      0.00      0.00      0.00      0.00      0.00
03:50:40 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:50:45 AM      0.00    114.40      0.00      0.00    512.60      0.00      0.00      0.00      0.00      0.00
03:50:50 AM      0.00     32.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:50:55 AM      0.00      0.00      0.00      0.00    823.00      0.00      0.00      0.00      0.00      0.00
03:51:00 AM      0.00      0.80      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:51:05 AM      0.00      0.00      0.00      0.00    618.40      0.00      0.00      0.00      0.00      0.00
03:51:10 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:51:15 AM      0.00    130.40      0.00      0.00    717.20      0.00      0.00      0.00      0.00      0.00
03:51:20 AM      0.00      4.80      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:51:25 AM      0.00      0.00      0.00      0.00    823.00      0.00      0.00      0.00      0.00      0.00
03:51:30 AM      0.00     38.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:51:35 AM      0.00      0.80      0.00      0.00    515.80      0.00      0.00      0.00      0.00      0.00
03:51:40 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:51:45 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:51:50 AM      0.00    111.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:51:55 AM    540.00      3.20    136.80    135.20      6.40      0.00      0.00      0.00      0.00      0.00
03:52:00 AM      0.00      0.00      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
03:52:05 AM      0.00     32.00      0.00      0.00      4.60      0.00      0.00      0.00      0.00      0.00
03:52:10 AM      0.00     49.60      5.40      0.00      5.80      0.00      0.00      0.00      0.00      0.00
03:52:15 AM      0.00     14.40      5.20      0.00      1.00      0.00      0.00      0.00      0.00      0.00
03:52:20 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:52:25 AM      0.00    156.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:52:30 AM      0.00      4.00      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
03:52:35 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:52:40 AM      0.00     90.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:52:45 AM      0.00      0.80      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:52:50 AM      0.00      0.00      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
03:52:55 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:53:00 AM      0.00    143.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:53:05 AM      0.00      4.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:53:10 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:53:15 AM      0.00     32.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:53:20 AM      0.00      1.60      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:53:25 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:53:30 AM      0.00      0.00      0.40      0.00      7.60      0.00      0.00      0.00      0.00      0.00
03:53:35 AM     23.20    136.80    281.80      5.80    187.40      0.00      0.00      0.00      0.00      0.00
03:53:40 AM      0.00      3.19      0.00      0.00      4.59      0.00      0.00      0.00      0.00      0.00
03:53:45 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:53:50 AM      0.00     57.60      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:53:55 AM      0.00      0.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:54:00 AM      1.60      0.00    282.60      0.40    215.20      0.00      0.00      0.00      0.00      0.00
03:54:05 AM      0.00    124.00      0.20      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:54:10 AM      0.00     35.20      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:54:15 AM      0.00      3.20      0.40      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:54:20 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:54:25 AM      0.00     51.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:54:30 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:54:35 AM      0.00      0.80      0.40      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:54:40 AM      0.00    143.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:54:45 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:54:50 AM      0.00      4.80      0.00      0.00    976.60      0.00      0.00      0.00      0.00      0.00
03:54:55 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:00 AM      0.00      0.00      0.00      0.00    720.60      0.00      0.00      0.00      0.00      0.00
03:55:05 AM      0.00     38.40      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:10 AM      0.00      0.80      0.00      0.00    413.60      0.00      0.00      0.00      0.00      0.00
03:55:15 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:55:20 AM      0.00    111.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:25 AM      0.00      4.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:55:30 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:35 AM      0.00      0.00      0.40      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:55:40 AM      0.00     32.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:45 AM      0.00      0.80      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:55:50 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:55:55 AM   1623.20    136.80    406.00    405.80     16.60      0.00      0.00      0.00      0.00      0.00
03:56:00 AM      0.00      3.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:56:05 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:56:10 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:56:15 AM      0.00     38.40      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:56:20 AM      0.00      0.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:56:25 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:56:30 AM      0.00    104.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:56:35 AM      0.00      3.20      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:56:40 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:56:45 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:56:50 AM      0.00     32.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:56:55 AM      0.00      0.80      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:57:00 AM      0.00      0.00      0.40      0.00      4.60      0.00      0.00      0.00      0.00      0.00
03:57:05 AM      0.00    130.40      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:57:10 AM      0.00      3.19      5.19      0.00      4.39      0.00      0.00      0.00      0.00      0.00
03:57:15 AM      0.00     48.80      0.60      0.00      1.60      0.00      0.00      0.00      0.00      0.00
03:57:20 AM      0.00     14.40      5.20      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:57:25 AM      0.00     70.40      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
03:57:30 AM      0.00      0.80      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:57:35 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:57:40 AM      0.00    156.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:57:45 AM      0.00      3.20      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
03:57:50 AM      0.00      0.00      0.00      0.00      4.20      0.00      0.00      0.00      0.00      0.00
03:57:55 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:58:00 AM      0.00     32.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:58:05 AM      0.00      0.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:58:10 AM      0.00      0.00      0.20      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:58:15 AM      0.00      0.00      0.00      0.00    717.40      0.00      0.00      0.00      0.00      0.00
03:58:20 AM      0.00    143.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:58:25 AM      0.00      0.00      0.00      0.00    823.20      0.00      0.00      0.00      0.00      0.00
03:58:30 AM      0.00      0.00      0.00      0.00      7.40      0.00      0.00      0.00      0.00      0.00
03:58:35 AM      0.00      0.00      0.60      0.00    720.60      0.00      0.00      0.00      0.00      0.00
03:58:40 AM      0.00      0.80      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:58:45 AM      0.00      0.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
03:58:50 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:58:55 AM      0.00      3.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:59:00 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:59:05 AM      0.00      0.00    281.60      0.00    210.80      0.00      0.00      0.00      0.00      0.00
03:59:10 AM      0.00    162.40      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:59:15 AM      0.00      0.80      0.00      0.00      0.80      0.00      0.00      0.00      0.00      0.00
03:59:20 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:59:25 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:59:30 AM      0.00      3.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:59:35 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
03:59:40 AM      0.00     32.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:59:45 AM      0.00    117.60      0.00      0.00    307.60      0.00      0.00      0.00      0.00      0.00
03:59:50 AM      0.00      1.60      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:59:55 AM      0.00      0.00      0.00      0.00    515.80      0.00      0.00      0.00      0.00      0.00
04:00:00 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
04:00:05 AM      0.80      3.20      0.40      0.20      3.80      0.00      0.00      0.00      0.00      0.00
04:00:10 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:00:15 AM      0.00     38.40      0.20      0.00    103.20      0.00      0.00      0.00      0.00      0.00
04:00:20 AM      0.00    130.40      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:00:25 AM      0.00      0.80      0.00      0.00      4.80      0.00      0.00      0.00      0.00      0.00
04:00:30 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
04:00:35 AM      0.00      0.00      0.20      0.00      4.00      0.00      0.00      0.00      0.00      0.00
04:00:40 AM      0.00      4.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:00:45 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
04:00:50 AM      0.00     31.94      0.00      0.00    208.18      0.00      0.00      0.00      0.00      0.00
04:00:55 AM      0.00    117.60      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:01:00 AM      0.00      0.80      0.00      0.00    208.80      0.00      0.00      0.00      0.00      0.00
04:01:05 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:01:10 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
04:01:15 AM      0.00      4.00      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00
04:01:20 AM      0.00      0.00      0.00      0.00    413.80      0.00      0.00      0.00      0.00      0.00
04:01:25 AM      0.00      0.00      0.00      0.00      4.60      0.00      0.00      0.00      0.00      0.00
04:01:30 AM      0.00    181.60      0.00      0.00    413.60      0.00      0.00      0.00      0.00      0.00
04:01:35 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:01:40 AM      0.00      0.80      0.00      0.00    823.00      0.00      0.00      0.00      0.00      0.00
04:01:45 AM      0.00      0.00      0.00      0.00      0.60      0.00      0.00      0.00      0.00      0.00
04:01:50 AM      0.00      3.20      0.00      0.00    823.00      0.00      0.00      0.00      0.00      0.00
04:01:55 AM      0.00      0.00      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
04:02:00 AM      0.00      0.00      0.00      0.00    106.80      0.00      0.00      0.00      0.00      0.00
04:02:05 AM      0.00     32.00      0.00      0.00      4.40      0.00      0.00      0.00      0.00      0.00
04:02:10 AM      0.00    124.00      5.60      0.00    119.80      0.00      0.00      0.00      0.00      0.00
04:02:15 AM      0.00      0.80      0.20      0.00      0.80      0.00      0.00      0.00      0.00      0.00
04:02:20 AM      0.00     34.40      5.00      0.00      6.00      0.00      0.00      0.00      0.00      0.00
04:02:25 AM      0.00      4.80      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:02:30 AM      0.00      0.00      0.00      0.00      5.40      0.00      0.00      0.00      0.00      0.00
04:02:35 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
04:02:40 AM      0.00    252.80      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
04:02:45 AM      0.00   2076.80      0.00      0.00    535.80      0.00      0.00      0.00      0.00      0.00
04:02:50 AM      0.00    161.60      0.00      0.00     52.60      0.00      0.00      0.00      0.00      0.00
04:02:55 AM      0.00    562.40      0.00      0.00    145.80      0.00      0.00      0.00      0.00      0.00
